Asset Category,Asset Identifier,Asset Title,File Path,File Size (bytes),Resolution / Quality,Visual & Text Quality Audit,Audit Status
Mathematical Formula Panel,F01,Random Utility Maximization (RUM) Framework,results/figures/formulas/f01_rum_random_utility_maximization.png,342351,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F02,Systematic Utility Linear Combination (7-D Travel DNA),results/figures/formulas/f02_systematic_utility_dot_product.png,387467,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F03,Multinomial Logit (MNL) Choice Probability Formulation,results/figures/formulas/f03_multinomial_logit_choice_probability.png,368620,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F04,Pre-Choice Consideration Set Relative Normalization,results/figures/formulas/f04_minmax_normalization.png,395568,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F05,Classification Overall Accuracy,results/figures/formulas/f05_classification_accuracy.png,359076,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F06,Classification Precision (Positive Predictive Value),results/figures/formulas/f06_classification_precision.png,328338,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F07,Classification Recall (Detection Rate / True Positive Rate),results/figures/formulas/f07_classification_recall.png,327547,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F08,F1-Score (Harmonic Balance of Precision & Recall),results/figures/formulas/f08_classification_f1_score.png,353146,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F09,Constrained Decision Threshold Optimization Policy,results/figures/formulas/f09_threshold_optimization_objective.png,434288,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Mathematical Formula Panel,F10,Receiver Operating Characteristic Area Under Curve (ROC-AUC),results/figures/formulas/f10_roc_auc_integral.png,394772,300 DPI High-Resolution Card,VERIFIED READABLE (No Collision),PASSED
Evaluation Table Card,T01,Data Source Provenance & Integrity Registry,results/figures/tables/tbl_p1_source_provenance_matrix.png,363377,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T02,Raw Dataset Inventory & Technical Characteristics,results/figures/tables/tbl_p1_raw_dataset_inventory.png,263606,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T03,Data Cleaning Transformation Before-and-After Metrics,results/figures/tables/tbl_p2_cleaning_before_after.png,380389,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T04,Canonical Processed Datasets Layer Summary,results/figures/tables/tbl_p2_canonical_datasets_summary.png,260311,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T05,"Persona Archetype Population Mix Validation (N = 5,000)",results/figures/tables/tbl_p3_persona_distribution.png,279567,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T06,Authoritative 7-D Travel DNA Statistical Moments Audit,results/figures/tables/tbl_p3_travel_dna_moments.png,290915,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T07,Econometric Behavioral Sensitivity Interventions,results/figures/tables/tbl_p3_behavioral_sensitivity.png,289374,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T08,Deterministic Traveller-Level Partitioning Summary,results/figures/tables/tbl_p4_dataset_split_summary.png,204871,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T09,Phase 4 Baseline Model Family Multi-Partition Evaluation,results/figures/tables/tbl_p4_baseline_model_metrics.png,428635,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T10,Test Set Confusion Matrices at Default Threshold (tau = 0.50),results/figures/tables/tbl_p4_confusion_matrices.png,330214,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T11,Decision Threshold Sweep Grid on Validation Partition,results/figures/tables/tbl_p4_threshold_analysis.png,414383,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T12,Champion Model Test Performance: Default vs Tuned Threshold,results/figures/tables/tbl_p4_final_model_comparison.png,195075,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T13,Top 10 Most Influential Features (HistGradientBoosting Core),results/figures/tables/tbl_p4_feature_importance.png,496722,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T14,Full Implementation Coverage & Traceability Matrix,results/figures/tables/tbl_p5_implementation_coverage.png,286335,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T15,Offline Reproducibility & Execution Verification Matrix,results/figures/tables/tbl_p5_reproducibility_verification.png,274661,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Evaluation Table Card,T16,Final Project Benchmark: Model Comparison Across Operating Points,results/figures/tables/tbl_p5_final_consolidated_metrics.png,490479,300 DPI High-Resolution Card,"VERIFIED READABLE (Direct Engine, No Collision)",PASSED
Analytical Graph / Diagram,G01,Modal Choice Share by Persona Archetype,results/figures/eda/modal_choice_share_by_persona.png,71882,High Resolution Chart,VERIFIED SCIENTIFIC FIT,PASSED
Analytical Graph / Diagram,G02,Travel DNA Boxplots Across 7 Dimensions,results/figures/eda/travel_dna_boxplots_by_persona.png,246578,High Resolution Chart,VERIFIED SCIENTIFIC FIT,PASSED
Analytical Graph / Diagram,G03,Travel DNA Inter-Variable Correlation Heatmap (7x7),results/figures/eda/travel_dna_correlation_heatmap.png,123259,High Resolution Chart,VERIFIED SCIENTIFIC FIT,PASSED
Analytical Graph / Diagram,G04,HistGradientBoosting Core Top Feature Importances,results/figures/models/feature_importance_plot.png,122093,High Resolution Chart,VERIFIED SCIENTIFIC FIT,PASSED
Analytical Graph / Diagram,G05,Baseline Model Comparison Across 4 Families,results/figures/models/model_comparison_plot.png,81626,High Resolution Chart,VERIFIED SCIENTIFIC FIT,PASSED
