session_id,traveller_id,origin_city,destination_city,search_date,travel_date,lead_days,departure_window,trip_purpose,party_size
S0000001,T000001,Chennai,Bangalore,2024-03-11,2024-04-01,21,Night,Commute,1
S0000002,T000001,Hyderabad,Chennai,2024-03-02,2024-04-06,35,Night,Commute,1
S0000003,T000001,Delhi,Kolkata,2024-03-13,2024-04-05,23,Early Morning,Commute,1
S0000004,T000001,Mumbai,Hyderabad,2024-03-05,2024-03-21,16,Evening,Business,3
S0000005,T000002,Delhi,Mumbai,2024-03-15,2024-04-16,32,Afternoon,Commute,1
S0000006,T000002,Kolkata,Hyderabad,2024-03-05,2024-04-03,29,Afternoon,Business,1
S0000007,T000002,Kolkata,Bangalore,2024-03-13,2024-03-16,3,Afternoon,Family / Personal,1
S0000008,T000002,Hyderabad,Bangalore,2024-03-04,2024-03-31,27,Night,Commute,1
S0000009,T000003,Delhi,Kolkata,2024-03-11,2024-03-29,18,Afternoon,Leisure,1
S0000010,T000003,Kolkata,Mumbai,2024-03-04,2024-04-02,29,Morning,Leisure,1
S0000011,T000003,Bangalore,Chennai,2024-03-05,2024-04-15,41,Afternoon,Commute,1
S0000012,T000003,Delhi,Kolkata,2024-03-04,2024-04-04,31,Evening,Business,1
S0000013,T000004,Delhi,Hyderabad,2024-03-01,2024-04-09,39,Early Morning,Commute,1
S0000014,T000004,Hyderabad,Bangalore,2024-03-05,2024-03-26,21,Morning,Commute,1
S0000015,T000004,Kolkata,Chennai,2024-03-06,2024-04-20,45,Night,Family / Personal,1
S0000016,T000004,Bangalore,Hyderabad,2024-03-14,2024-04-23,40,Night,Commute,2
S0000017,T000005,Delhi,Hyderabad,2024-03-13,2024-04-04,22,Afternoon,Commute,1
S0000018,T000005,Chennai,Delhi,2024-03-04,2024-04-21,48,Early Morning,Commute,1
S0000019,T000005,Mumbai,Chennai,2024-03-06,2024-03-30,24,Afternoon,Commute,1
S0000020,T000005,Bangalore,Delhi,2024-03-15,2024-04-07,23,Early Morning,Commute,1
S0000021,T000006,Bangalore,Mumbai,2024-03-09,2024-04-16,38,Early Morning,Commute,1
S0000022,T000006,Delhi,Chennai,2024-03-14,2024-03-19,5,Early Morning,Commute,2
S0000023,T000006,Mumbai,Kolkata,2024-03-01,2024-03-24,23,Afternoon,Commute,1
S0000024,T000006,Chennai,Bangalore,2024-03-07,2024-03-30,23,Afternoon,Commute,3
S0000025,T000007,Delhi,Mumbai,2024-03-08,2024-04-21,44,Early Morning,Commute,1
S0000026,T000007,Bangalore,Hyderabad,2024-03-06,2024-03-30,24,Morning,Commute,1
S0000027,T000007,Delhi,Chennai,2024-03-06,2024-04-14,39,Afternoon,Commute,2
S0000028,T000007,Mumbai,Delhi,2024-03-15,2024-03-27,12,Night,Commute,1
S0000029,T000008,Delhi,Kolkata,2024-03-12,2024-03-25,13,Evening,Leisure,1
